order,category,appears_in_tabs,read_time_min,title,slug,excerpt,suggested_cta,priority
1,Poradniki,Wszystkie;Poradniki,16,Jak dostać się na studia za granicą? Kompletny przewodnik krok po kroku,/jak-dostac-sie-na-studia-za-granica,"Od wyboru kraju i kierunku po dokumenty, terminy, eseje i finansowanie — przewodnik, który pomaga zrozumieć proces aplikacji bez chaosu i przypadkowych decyzji.","Sprawdź, jak Acadea może pomóc Ci zaplanować indywidualną strategię aplikacyjną. Dostępne są także stypendia.",pillar
2,Poradniki,Wszystkie;Poradniki,11,Dokumenty na studia za granicą — checklista dla kandydatów,/dokumenty-na-studia-za-granica,"Oceny, certyfikat językowy, rekomendacje, CV, eseje i dokumenty finansowe — zobacz, czego zwykle wymagają uczelnie i czego nie zostawiać na ostatnią chwilę.","W Acadea pomagamy sprawdzić, których dokumentów naprawdę potrzebujesz przy Twojej liście uczelni.",high
3,Poradniki,Wszystkie;Poradniki,9,Terminy aplikacji na studia za granicą — dołącz do grupy WhatsApp,/terminy-aplikacji-studia-za-granica,"Deadline’y różnią się między krajami, uczelniami i stypendiami. Wyjaśniamy, jak ich pilnować i dlaczego aktualizacje publikujemy także na grupie WhatsApp Acadea.",Dołącz do grupy WhatsApp Acadea i śledź najważniejsze terminy aplikacyjne.,high
4,Poradniki,Wszystkie;Poradniki,9,"Rankingi uczelni: QS, THE, Shanghai — jak je czytać?",/rankingi-uczelni,"Rankingi mogą pomóc, ale potrafią też wprowadzać w błąd. Sprawdź, co naprawdę mierzą i dlaczego nie warto wybierać uczelni wyłącznie po pozycji w tabeli.",W Acadea pomagamy przełożyć rankingi na realistyczną listę uczelni dopasowaną do profilu ucznia.,high
5,Poradniki,Wszystkie;Poradniki,8,"IELTS, TOEFL czy Duolingo? Certyfikat językowy na studia za granicą",/ielts-toefl-duolingo,"Nie każda uczelnia akceptuje ten sam egzamin. Sprawdź, kiedy potrzebujesz certyfikatu językowego i dlaczego warto zaplanować go wcześniej.",Pomagamy sprawdzić wymagania językowe dla konkretnych uczelni i kierunków.,high
6,Poradniki,Wszystkie;Poradniki,12,Jak napisać personal statement na studia w UK?,/jak-napisac-personal-statement,"Personal statement nie jest listą osiągnięć ani zwykłym listem motywacyjnym. Zobacz, jak pokazać zainteresowanie kierunkiem i uniknąć ogólników.","W Acadea pomagamy przejść od pierwszego szkicu do mocnego, spójnego tekstu aplikacyjnego.",high
7,Poradniki,Wszystkie;Poradniki,8,List motywacyjny a personal statement — jaka jest różnica?,/list-motywacyjny-a-personal-statement,"Wiele osób myli te dwa dokumenty. Tymczasem różnią się strukturą, tonem i przeznaczeniem — szczególnie przy aplikacji do UK, Europy i USA.","Jeśli nie wiesz, jaki tekst przygotować, pomożemy dobrać dokument do kraju i uczelni.",medium
8,Poradniki,Wszystkie;Poradniki,10,Jak wybrać kierunek studiów za granicą?,/jak-wybrac-kierunek-studiow-za-granica,"Dobry kierunek to nie tylko to, co brzmi ciekawie. Trzeba sprawdzić wymagania, strukturę programu, perspektywy i dopasowanie do profilu ucznia.","W Acadea pomagamy dobrać kierunek i uczelnie tak, żeby aplikacja miała sens akademicznie i strategicznie.",high
9,Poradniki,Wszystkie;Poradniki,9,Jak wybrać kraj na studia za granicą?,/jak-wybrac-kraj-na-studia-za-granica,"Kraj to nie wakacje. Liczą się koszty życia, styl nauki, język, rynek pracy, wymagania i to, czy dany system pasuje do Twoich planów.",Nie robimy jednej listy krajów dla wszystkich — analizujemy konkretną sytuację ucznia.,medium
10,Poradniki,Wszystkie;Poradniki,8,Jak poprosić nauczyciela o rekomendację?,/jak-poprosic-o-rekomendacje,"Dobra rekomendacja nie powinna być ogólną pochwałą. Zobacz, kogo poprosić, kiedy to zrobić i jak pomóc nauczycielowi napisać konkretny list.","W Acadea pomagamy przygotować materiały, które wspierają nauczyciela w napisaniu mocnej rekomendacji.",medium
11,Poradniki,Wszystkie;Poradniki,10,Najczęstsze błędy w aplikacji na studia za granicą,/bledy-w-aplikacji-na-studia-za-granica,"Zbyt późny start, przypadkowa lista uczelni, słabe eseje i brak planu finansowego — sprawdź, które błędy najczęściej osłabiają aplikację.",Największe błędy zwykle wynikają z braku indywidualnej strategii. Pomagamy ich uniknąć.,high
12,Poradniki,Wszystkie;Poradniki,9,Czy warto korzystać z mentora przy aplikacji na studia za granicą?,/mentor-aplikacyjny-studia-za-granica,"Mentor nie powinien obiecywać przyjęcia ani pisać aplikacji za ucznia. Może jednak pomóc uporządkować proces, strategię i dokumenty.","W Acadea oferujemy indywidualne wsparcie aplikacyjne oraz stypendia dla osób, które potrzebują pomocy finansowej.",high
13,Poradniki,Wszystkie;Poradniki,8,Jak wygląda współpraca z mentorem aplikacyjnym?,/jak-wyglada-wspolpraca-z-mentorem-aplikacyjnym,"Od pierwszej konsultacji po wybór uczelni, teksty aplikacyjne i terminy — zobacz, jak może wyglądać uporządkowane wsparcie w aplikacji.","Zgłoś się do Acadea, jeśli chcesz sprawdzić, jaka forma pomocy pasuje do Twojej sytuacji.",medium
14,Poradniki,Wszystkie;Poradniki,8,Czy studia za granicą są dla mnie?,/czy-studia-za-granica-sa-dla-mnie,"Nie każdy powinien wybierać tę samą ścieżkę. Sprawdź, jak myśleć o gotowości akademickiej, finansowej i osobistej do wyjazdu.","W Acadea pomagamy ocenić, czy wyjazd ma sens w Twojej konkretnej sytuacji.",medium
15,Poradniki,Wszystkie;Poradniki,9,"Studia za granicą z polską maturą, IB albo A-levels",/studia-za-granica-polska-matura-ib-a-levels,"Polska matura, IB i A-levels mogą otwierać różne drzwi — ale wymagania zależą od kraju, kierunku i konkretnych przedmiotów.","Pomagamy sprawdzić, które uczelnie realnie pasują do Twojego systemu edukacji i wyników.",high
16,Kraje,Wszystkie;Kraje,14,"Studia w USA — aplikacja, eseje, SAT i financial aid",/studia-w-usa,"Aplikacja do USA różni się od europejskich systemów. Wyjaśniamy Common App, eseje, extracurriculars, testy i pomoc finansową dla international students.","W Acadea pomagamy ocenić, czy USA ma sens akademicznie i finansowo w Twojej sytuacji.",pillar
17,Kraje,Wszystkie;Kraje,12,Studia w Europie po angielsku — gdzie warto aplikować?,/studia-w-europie-po-angielsku,"Holandia, Dania, Szwecja, Austria, Włochy, Hiszpania czy Belgia? Zobacz, jak porównywać kraje, koszty i programy po angielsku.","Pomożemy dobrać kraje i programy do Twojego profilu, zamiast wybierać je przypadkowo.",pillar
18,Kraje,Wszystkie;Kraje,10,Studia w Holandii — przewodnik dla polskich maturzystów,/studia-w-holandii-po-angielsku,"Holandia przyciąga programami po angielsku i praktycznym stylem nauki, ale trzeba uważać na terminy, wymagania i zakwaterowanie.","Sprawdzimy, czy Holandia jest dobrym wyborem dla Twojego kierunku, budżetu i wyników.",high
19,Kraje,Wszystkie;Kraje,10,"Studia w UK po Brexicie — aplikacja, koszty i UCAS",/studia-w-uk-po-brexicie,"Wielka Brytania nadal ma świetne uczelnie, ale po Brexicie wymaga dokładniejszego planu finansowego, UCAS i mocnych dokumentów.","W Acadea pomagamy ocenić, czy UK nadal ma sens w Twojej sytuacji.",high
20,Kraje,Wszystkie;Kraje,10,Bezpłatne studia w Niemczech — jak to możliwe i jak aplikować?,/bezplatne-studia-w-niemczech,"Niemcy mogą być bardzo atrakcyjne finansowo, szczególnie na uczelniach publicznych. Sprawdź, kiedy niski koszt naprawdę oznacza dobrą opcję.","Pomagamy sprawdzić, czy Niemcy pasują do Twojego kierunku, języka i planów.",medium
21,Kraje,Wszystkie;Kraje,9,"Studia w Hiszpanii — słońce, kultura i dyplom uznawany w całej Europie",/studia-w-hiszpanii,"Hiszpania to nie tylko Madryt i Barcelona. To także uczelnie, programy po angielsku, kierunki biznesowe i rosnące możliwości dla absolwentów.","Sprawdzimy, czy Hiszpania ma sens akademicznie i finansowo w Twoim przypadku.",medium
22,Kraje,Wszystkie;Kraje,9,"Studia we Włoszech po angielsku — koszty, uczelnie i aplikacja",/studia-we-wloszech-po-angielsku,"Włochy mogą być ciekawą opcją dla osób zainteresowanych biznesem, ekonomią, designem, architekturą i naukami społecznymi.","Pomożemy ocenić, czy włoskie uczelnie pasują do Twojej strategii aplikacyjnej.",medium
23,Kraje,Wszystkie;Kraje,9,Studia w Danii po angielsku — co warto wiedzieć?,/studia-w-danii-po-angielsku,"Dania oferuje praktyczny styl nauki i międzynarodowe środowisko, ale wybór programów i koszty życia trzeba dokładnie sprawdzić.","W Acadea pomagamy sprawdzić, czy Dania jest realną i sensowną opcją dla Twojego profilu.",medium
24,Kraje,Wszystkie;Kraje,9,"Studia w Szwecji po angielsku — kierunki, koszty i wymagania",/studia-w-szwecji-po-angielsku,"Szwecja przyciąga jakością edukacji i nowoczesnym podejściem do nauki, ale wymaga dobrego planu kosztów i aplikacji.",Pomożemy porównać Szwecję z innymi krajami europejskimi pod Twój kierunek i budżet.,medium
25,Kraje,Wszystkie;Kraje,9,Studia w Kanadzie — czy to dobra alternatywa dla USA?,/studia-w-kanadzie,"Kanada może być atrakcyjna dla osób szukających anglojęzycznych studiów poza Europą, ale koszty, terminy i wymagania różnią się od USA.","W Acadea pomagamy porównać Kanadę, USA i Europę w zależności od Twoich celów.",low
26,Stypendia,Wszystkie;Stypendia,14,Ile kosztują studia za granicą i jak znaleźć stypendium?,/ile-kosztuja-studia-za-granica,"Czesne to tylko część budżetu. Wyjaśniamy koszty życia, zakwaterowanie, opłaty aplikacyjne, financial aid i najczęstsze pułapki finansowe.","W Acadea pomagamy ocenić, które opcje są realistyczne finansowo. Oferujemy też stypendia na wsparcie aplikacyjne.",pillar
27,Stypendia,Wszystkie;Stypendia,12,Jak zdobyć stypendium na studia za granicą? Kompletny poradnik,/stypendia-na-studia-za-granica,"Scholarship, grant, financial aid, tuition waiver — sprawdź, czym różnią się formy finansowania i kiedy zacząć szukać wsparcia.",Acadea oferuje własne stypendia na wsparcie aplikacyjne oraz pomaga szukać zewnętrznych źródeł finansowania.,high
28,Stypendia,Wszystkie;Stypendia,10,Darmowe studia za granicą — kiedy to naprawdę możliwe?,/darmowe-studia-za-granica,"Brak czesnego nie oznacza braku kosztów. Sprawdź, jak odróżnić rzeczywiście tanią opcję od programu, który tylko wygląda korzystnie na papierze.","Pomożemy sprawdzić, czy wybrana opcja jest realna finansowo w Twojej sytuacji.",high
29,Stypendia,Wszystkie;Stypendia,11,Financial aid dla international students w USA,/financial-aid-usa,"Niektóre uczelnie w USA oferują bardzo dużą pomoc finansową, ale zasady różnią się między szkołami. Zobacz, na co uważać przy układaniu listy.","W Acadea pomagamy sprawdzić, czy aplikacja do USA jest finansowo realistyczna.",high
30,Stypendia,Wszystkie;Stypendia,8,Stypendia Acadea — kto może otrzymać wsparcie aplikacyjne?,/stypendia-acadea,"Profesjonalna pomoc w aplikacji nie powinna być dostępna tylko dla osób, które mogą zapłacić pełną cenę. Wyjaśniamy, jak myślimy o stypendiach Acadea.","Zgłoś się do Acadea i sprawdź, czy możesz ubiegać się o wsparcie aplikacyjne.",high
